site_id,siren,source_fichier,zip
ChIJXYSNCajazRIRyE6iz_dt9O4,,ChIJXYSNCajazRIRyE6iz_dt9O4/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJXYSNCajazRIRyE6iz_dt9O4,,ChIJXYSNCajazRIRyE6iz_dt9O4/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJXYSNCajazRIRyE6iz_dt9O4,,ChIJXYSNCajazRIRyE6iz_dt9O4/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJJYJDup-BzhIRVzU9EvMwuYo,,ChIJJYJDup-BzhIRVzU9EvMwuYo/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJJYJDup-BzhIRVzU9EvMwuYo,,ChIJJYJDup-BzhIRVzU9EvMwuYo/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJJYJDup-BzhIRVzU9EvMwuYo,,ChIJJYJDup-BzhIRVzU9EvMwuYo/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJQQCEZRZv5kcR7FE2TLvz3Nk,842429417,ChIJQQCEZRZv5kcR7FE2TLvz3Nk/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJ6w6pVc5x5kcR5GQbunIjXqw,,ChIJ6w6pVc5x5kcR5GQbunIjXqw/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJ6w6pVc5x5kcR5GQbunIjXqw,,ChIJ6w6pVc5x5kcR5GQbunIjXqw/mentions-legales.php.html,pages_html_batch00004_20260629_223949.zip
ChIJ6w6pVc5x5kcR5GQbunIjXqw,,ChIJ6w6pVc5x5kcR5GQbunIjXqw/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
ChIJ6w6pVc5x5kcR5GQbunIjXqw,,ChIJ6w6pVc5x5kcR5GQbunIjXqw/mentions-legales.html.html,pages_html_batch00004_20260629_223949.zip
ChIJr2ZQABCcry0R1TqFR7zlB1k,,ChIJr2ZQABCcry0R1TqFR7zlB1k/mentions_legales.html,pages_html_batch00004_20260629_223949.zip
ChIJr2ZQABCcry0R1TqFR7zlB1k,,ChIJr2ZQABCcry0R1TqFR7zlB1k/mentions-legales.php.html,pages_html_batch00004_20260629_223949.zip
ChIJr2ZQABCcry0R1TqFR7zlB1k,,ChIJr2ZQABCcry0R1TqFR7zlB1k/mentions-legales.html,pages_html_batch00004_20260629_223949.zip
